Code,Area,Nov-08,Feb-09,May-09,Aug-09,Nov-09,Feb-10,May-10,Aug-10,Nov-10,Feb-11,May-11,Aug-11,Nov-11,Feb-12,May-12,Aug-12,Nov-12,Feb-13,May-13,Aug-13,Nov-13,Feb-14,May-14,Aug-14,Nov-14,Feb-15,May-15,Aug-15,Nov-15,Feb-16,May-16,Aug-16,Nov-16,Feb-17,May-17,Aug-17,Nov-17,Feb-18,May-18,Aug-18,Nov-18
E09000010,Enfield,270,840,"1,340","1,830","2,190","2,610","2,760","2,910","3,100","3,290","3,440","3,770","4,400","5,150","5,850","6,460","7,480","7,990","8,700","9,150","9,450","9,870","10,300","10,840","11,250","11,490","11,840","11,890","11,730","11,440","11,210","11,250","11,230","11,220","11,080","11,120","11,190","11,030","10,660","10,380","10,090"
E09000011,Greenwich,210,720,"1,240","1,630","1,910","2,160","2,460","2,650","2,840","3,040","3,260","3,650","4,120","4,690","5,250","5,790","6,330","7,040","7,670","8,100","8,480","8,750","9,200","9,660","10,150","10,460","10,630","10,600","10,450","10,440","10,430","10,540","10,560","10,480","10,380","10,360","10,300","10,200","10,290","10,430","9,970"
E09000012,Hackney,210,750,"1,380","1,940","2,330","2,690","3,100","3,410","3,500","3,520","3,660","3,890","4,520","5,120","5,860","6,510","7,620","8,430","9,350","9,750","10,360","10,820","11,320","12,050","12,610","12,870","13,020","13,150","13,010","12,590","12,520","12,530","12,580","12,470","12,560","12,700","12,630","12,640","12,690","12,710","12,240"
E09000013,Hammersmith and Fulham,110,430,720,940,"1,150","1,360","1,460","1,620","1,710","1,890","2,000","2,300","2,700","3,150","3,610","4,090","4,630","5,050","5,460","5,860","6,090","6,390","6,570","6,890","7,130","7,190","7,210","7,190","7,090","6,940","6,930","6,840","6,560","6,240","5,930","5,710","5,500","5,370","5,250","5,180","5,040"
E09000014,Haringey,240,720,"1,200","1,730","2,020","2,290","2,500","2,660","2,810","3,030","3,240","3,680","4,230","4,920","5,610","6,230","7,220","7,800","8,510","9,040","9,410","9,840","10,190","10,740","11,160","11,480","11,740","11,550","11,450","11,090","10,920","10,920","10,940","10,950","10,820","10,790","10,930","11,000","10,810","10,850","10,520"
E09000015,Harrow,160,500,810,"1,110","1,200","1,300","1,510","1,550","1,720","1,810","1,920","2,150","2,470","2,840","3,170","3,490","3,910","4,240","4,570","4,820","4,940","5,130","5,270","5,550","5,740","5,890","5,960","5,820","5,680","5,710","5,740","5,770","5,740","5,730","5,680","5,640","5,690","5,710","5,640","5,520","5,280"
E09000016,Havering,150,520,890,"1,160","1,310","1,460","1,630","1,730","1,780","1,930","2,020","2,190","2,530","2,780","3,120","3,460","3,830","4,100","4,480","4,790","5,070","5,370","5,530","5,820","6,090","6,290","6,250","6,250","6,220","6,220","6,340","6,510","6,470","6,430","6,350","6,390","6,360","6,380","6,370","6,140","5,850"
E09000017,Hillingdon,170,610,"1,060","1,410","1,510","1,790","2,060","2,280","2,470","2,640","2,820","3,060","3,420","3,960","4,300","4,700","5,170","5,670","6,090","6,420","6,590","6,770","7,090","7,570","7,850","8,010","8,120","8,120","7,950","7,820","7,720","7,780","7,660","7,600","7,530","7,530","7,530","7,450","7,510","7,630","7,440"
E09000018,Hounslow,160,590,"1,010","1,390","1,570","1,800","1,990","2,110","2,190","2,410","2,520","2,800","3,270","3,790","4,230","4,780","5,370","5,840","6,410","6,690","6,920","7,230","7,400","7,710","7,940","8,110","8,150","8,080","7,930","7,640","7,250","6,890","6,520","6,280","6,010","5,860","5,680","5,550","5,430","5,330","5,220"
E09000019,Islington,200,640,"1,040","1,430","1,670","1,890","2,180","2,360","2,510","2,810","3,030","3,420","4,120","4,800","5,500","6,210","7,160","7,850","8,670","9,460","9,870","10,230","10,560","11,090","11,470","11,770","11,970","12,070","11,910","11,740","11,540","11,570","11,540","11,550","11,550","11,630","11,500","11,510","11,470","11,160","10,670"
E09000020,Kensington and Chelsea,90,300,480,700,810,960,"1,080","1,170","1,210","1,350","1,450","1,650","1,980","2,350","2,670","3,070","3,510","3,880","4,300","4,530","4,690","4,920","5,080","5,330","5,480","5,570","5,590","5,490","5,420","5,390","5,410","5,430","5,320","5,270","5,180","5,170","5,110","5,080","5,040","5,020","4,900"
E09000021,Kingston upon Thames,60,220,420,640,730,820,900,970,"1,010","1,050","1,070","1,190","1,380","1,620","1,890","2,030","2,300","2,540","2,810","2,960","3,080","3,170","3,300","3,420","3,530","3,570","3,620","3,620","3,580","3,530","3,480","3,600","3,600","3,550","3,420","3,470","3,480","3,500","3,480","3,380","3,210"
E09000022,Lambeth,220,670,"1,300","1,860","2,180","2,460","2,840","3,100","3,180","3,290","3,480","3,860","4,630","5,280","6,140","6,980","7,790","8,350","9,080","9,680","9,970","10,550","10,920","11,540","11,950","12,280","12,490","12,510","12,220","12,060","11,950","12,120","12,000","11,950","11,820","11,730","11,560","11,170","10,790","10,500","10,150"
E09000023,Lewisham,230,790,"1,390","1,930","2,160","2,460","2,730","3,050","3,150","3,400","3,670","4,070","4,620","5,370","6,110","6,770","7,440","8,120","8,750","9,410","9,740","10,260","10,670","11,340","11,750","12,070","12,090","11,950","11,730","11,660","11,640","11,720","11,680","11,650","11,420","11,350","11,330","11,220","11,400","11,260","10,660"
E09000024,Merton,110,360,670,880,"1,000","1,100","1,230","1,310","1,320","1,420","1,420","1,640","1,900","2,260","2,640","2,910","3,200","3,520","3,820","3,980","4,090","4,270","4,390","4,580","4,740","4,880","4,940","4,910","4,800","4,710","4,660","4,670","4,560","4,500","4,430","4,410","4,330","4,170","4,080","3,960","3,800"
E09000025,Newham,220,780,"1,510","2,130","2,480","2,880","3,250","3,510","3,640","3,580","3,700","4,020","4,590","5,140","5,790","6,390","7,320","7,880","8,780","9,220","9,840","10,400","10,890","11,510","11,960","12,130","12,190","12,160","11,900","11,480","11,490","11,480","11,370","11,370","11,310","11,240","11,170","11,130","10,960","10,690","10,150"
E09000026,Redbridge,170,580,"1,050","1,380","1,550","1,740","1,940","2,090","2,140","2,300","2,410","2,620","3,040","3,360","3,810","4,260","4,770","5,040","5,510","5,860","6,200","6,490","6,680","6,980","7,220","7,330","7,290","7,150","7,100","7,050","7,070","7,190","7,140","7,200","7,140","7,100","7,050","7,040","7,070","6,810","6,520"
E09000027,Richmond upon Thames,60,240,420,560,670,730,860,930,"1,000","1,070","1,100","1,230","1,380","1,580","1,800","2,040","2,330","2,550","2,740","2,860","2,970","3,070","3,150","3,340","3,480","3,610","3,660","3,720","3,680","3,650","3,590","3,600","3,590","3,580","3,500","3,510","3,460","3,470","3,510","3,410","3,260"
E09000028,Southwark,220,740,"1,320","1,870","2,080","2,270","2,620","2,850","3,020","3,140","3,300","3,670","4,370","5,100","5,790","6,460","7,290","7,940","8,730","9,300","9,610","10,150","10,650","11,390","11,910","12,410","12,760","12,760","12,630","12,290","11,990","11,820","11,470","10,900","10,390","9,990","9,470","9,200","8,900","8,730","8,460"
E09000029,Sutton,110,390,730,980,"1,080","1,170","1,250","1,320","1,410","1,480","1,550","1,730","1,980","2,310","2,610","2,870","3,210","3,540","3,860","4,050","4,190","4,360","4,510","4,750","4,900","4,990","5,030","4,990","4,830","4,710","4,560","4,470","4,240","4,100","3,960","3,850","3,740","3,640","3,560","3,520","3,430"
E09000030,Tower Hamlets,240,790,"1,460","1,950","2,280","2,540","2,970","3,180","3,260","3,270","3,440","3,770","4,340","4,880","5,520","6,240","7,150","7,750","8,520","8,990","9,560","10,140","10,610","11,210","11,570","11,850","11,910","11,820","11,440","11,270","11,370","11,580","11,610","11,350","11,040","10,710","10,320","10,090","9,710","9,520","9,280"
E09000031,Waltham Forest,180,670,"1,180","1,510","1,710","1,890","2,130","2,340","2,500","2,740","2,910","3,210","3,650","4,070","4,560","5,150","5,740","6,110","6,470","6,950","7,370","7,750","7,960","8,450","8,860","9,050","9,210","9,140","8,910","8,660","8,670","8,770","8,820","8,710","8,610","8,620","8,640","8,630","8,450","8,180","7,820"
E09000032,Wandsworth,140,490,970,"1,340","1,540","1,690","1,860","2,050","2,130","2,190","2,300","2,580","3,090","3,610","4,080","4,700","5,340","5,800","6,330","6,780","7,090","7,460","7,800","8,130","8,400","8,620","8,760","8,640","8,470","8,370","8,390","8,490","8,450","8,380","8,300","8,220","8,180","8,000","7,930","7,840","7,500"
E09000033,Westminster,120,500,900,"1,210","1,440","1,660","1,880","2,040","2,150","2,410","2,540","2,880","3,470","4,000","4,650","5,280","5,950","6,440","7,090","7,610","7,870","8,180","8,320","8,730","8,930","9,170","9,240","9,120","9,100","9,040","9,120","9,110","9,060","9,030","8,990","9,040","8,980","8,980","8,950","8,830","8,480"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"3,250","10,820","17,100","21,880","24,690","28,290","30,760","31,450","32,200","34,400","35,530","38,520","46,070","52,430","60,510","69,040","78,430","86,710","95,720","102,540","108,930","113,910","117,420","120,890","124,430","128,280","130,010","131,510","131,910","129,150","127,930","127,920","127,810","126,500","125,230","124,310","122,500","120,380","118,500","115,890","110,790"
E12000002,North West,"7,790","25,460","40,890","52,560","61,350","70,030","77,590","83,740","87,650","92,910","99,080","109,660","126,930","150,600","172,780","197,900","222,430","243,240","264,870","284,580","306,550","318,150","325,820","334,600","337,270","341,810","341,030","341,230","340,700","343,180","343,440","345,330","345,650","343,170","338,440","333,920","330,400","325,930","320,560","315,280","305,480"
E12000003,Yorkshire and The Humber,"5,010","16,390","27,430","34,810","38,550","42,970","47,540","51,010","53,210","55,760","58,500","65,450","77,600","90,100","102,660","116,570","129,650","143,780","157,990","170,050","179,790","188,660","195,830","203,640","207,610","212,710","214,600","216,690","219,600","221,880","222,450","222,160","221,980","221,090","220,130","218,150","214,370","210,800","207,690","204,420","198,580"
E12000004,East Midlands,"3,740","11,740","19,190","25,380","29,180","32,380","35,360","37,030","39,070","40,980","43,320","47,910","55,480","64,330","75,200","87,260","97,330","106,580","117,140","130,210","141,870","145,990","148,260","152,160","155,030","159,110","160,840","162,440","164,430","167,300","168,330","171,140","172,690","172,730","171,360","169,890","168,030","167,120","165,730","163,380","158,060"
E12000005,West Midlands,"5,020","16,520","27,670","35,070","38,810","43,190","47,750","50,780","53,700","57,340","60,310","66,590","79,390","92,580","104,620","117,510","131,750","143,860","156,660","166,670","175,080","186,260","195,330","205,250","210,910","215,060","217,460","220,370","220,810","219,700","217,850","219,320","221,190","219,680","219,620","219,390","216,890","211,840","206,800","201,990","195,350"
E12000006,East,"3,840","12,390","20,910","27,440","31,030","35,440","38,880","42,640","44,890","47,220","48,730","53,450","62,880","71,560","79,960","91,520","102,300","113,070","125,990","133,560","142,890","148,340","153,290","159,770","162,380","166,610","168,180","169,630","171,050","172,820","173,340","175,470","176,350","175,480","173,830","173,130","170,100","168,010","164,770","162,840","157,540"
E12000007,London,"5,620","19,090","33,430","45,430","52,300","59,400","66,460","71,990","75,840","80,690","84,960","94,380","109,740","126,430","143,370","160,250","180,700","196,320","214,410","227,650","237,280","248,530","257,690","271,440","281,330","288,290","291,330","289,650","284,770","280,390","278,530","279,250","276,820","274,070","269,810","268,270","265,620","263,220","260,400","256,420","247,260"
E12000008,South East,"5,490","17,990","28,980","38,500","45,400","51,170","56,200","60,740","63,980","66,970","69,810","75,260","86,440","100,090","114,700","128,640","144,510","156,800","172,790","185,150","194,300","205,430","213,390","220,940","225,890","230,410","232,310","234,160","233,700","234,640","235,400","237,900","240,030","238,260","235,400","233,100","231,010","228,170","224,710","221,000","214,200"
E12000009,South West,"4,160","13,740","21,650","28,000","31,390","35,050","37,450","40,310","43,170","46,620","48,980","54,270","64,680","75,500","84,870","94,220","106,650","118,050","130,270","135,980","141,500","147,680","152,180","161,120","167,880","172,250","173,910","175,370","176,610","178,220","179,410","179,590","179,390","178,330","177,210","176,230","174,360","171,100","167,670","163,770","157,970"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"43,930","144,130","237,250","309,080","352,690","397,920","437,990","469,690","493,710","522,900","549,220","605,480","709,210","823,620","938,680","1,062,890","1,193,760","1,308,410","1,435,840","1,536,390","1,628,190","1,702,960","1,759,210","1,829,800","1,872,740","1,914,520","1,929,670","1,941,050","1,943,580","1,947,290","1,946,670","1,958,070","1,961,930","1,949,300","1,931,050","1,916,400","1,893,290","1,866,560","1,836,820","1,804,980","1,745,240"
W92000004,Wales,"3,960","12,550","19,700","25,120","28,410","31,780","34,810","37,290","39,440","42,260","42,780","46,610","54,200","61,570","70,750","81,100","90,880","101,150","111,440","118,510","125,790","133,540","138,730","144,240","147,450","150,470","151,220","151,270","151,900","152,920","153,820","154,760","156,710","158,390","159,150","159,190","159,320","156,400","154,260","151,920","147,750"
S92000003,Scotland,"5,870","19,080","31,230","40,070","44,470","49,470","54,010","56,690","60,430","65,760","69,760","79,300","93,760","104,820","123,300","140,330","160,510","177,650","195,590","210,940","227,330","237,250","241,730","246,270","248,350","252,000","254,500","256,810","258,650","261,650","264,030","266,050","264,950","265,070","263,210","262,350","258,650","256,320","251,170","247,510","240,330"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,England and Wales,"47,890","156,680","256,940","334,200","381,100","429,700","472,800","506,980","533,150","565,160","592,000","652,090","763,410","885,180","1,009,430","1,143,990","1,284,630","1,409,560","1,547,290","1,654,900","1,753,980","1,836,490","1,897,950","1,974,040","2,020,190","2,064,990","2,080,890","2,092,320","2,095,480","2,100,210","2,100,490","2,112,840","2,118,640","2,107,690","2,090,200","2,075,590","2,052,610","2,022,960","1,991,090","1,956,900","1,892,980"
K03000001,Great Britain,"53,760","175,760","288,170","374,280","425,570","479,170","526,810","563,660","593,580","630,920","661,770","731,390","857,160","990,000","1,132,730","1,284,320","1,445,140","1,587,210","1,742,880","1,865,840","1,981,310","2,073,750","2,139,680","2,220,310","2,268,530","2,316,990","2,335,380","2,349,130","2,354,130","2,361,860","2,364,520","2,378,890","2,383,590","2,372,760","2,353,400","2,337,940","2,311,270","2,279,280","2,242,260","2,204,410","2,133,320"
